Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Ryan McMahon","COL",66,132,118,33,21,6,0,6,15,13,12,0,44,2,0,0,2,0,2,0.279661016,15112
"Total","Mitch Garver","SEA",45,93,79,18,10,2,0,6,15,19,13,0,22,0,1,0,1,0,0,0.227848101,15161
"Total","Tim Anderson","MIA",35,82,78,19,18,1,0,0,7,2,4,0,22,0,0,0,1,3,1,0.243589743,15172
"Total","Jake Bauers","MIL",22,27,25,7,4,2,0,1,4,5,1,0,3,1,0,0,0,0,0,0.28,15194
"Total","Adam Frazier","KCR",19,23,21,4,4,0,0,0,3,3,1,0,2,1,0,0,0,1,0,0.19047619,15223
"Total","Austin Wynns","CIN",5,10,10,4,2,2,0,0,1,1,0,0,3,0,0,0,0,0,0,0.4,15271
"Total","Mike Tauchman","CHC",36,55,50,13,11,2,0,0,8,1,5,0,11,0,0,0,1,2,0,0.26,15274
"Total","Garrett Cooper","2 Tms",21,41,39,10,6,3,1,0,4,4,2,0,12,0,0,0,1,0,0,0.256410256,15279
"Total","Jeff McNeil","NYM",53,94,89,23,17,4,0,2,11,9,4,0,15,1,0,0,0,2,0,0.258426966,15362
"Total","Kris Bryant","COL",11,21,20,3,3,0,0,0,1,0,1,0,4,0,0,0,1,0,0,0.15,15429
"Total","Hunter Renfroe","KCR",42,75,67,14,8,4,0,2,11,15,8,0,11,0,0,0,2,1,1,0.208955223,15464
"Total","J.P. Crawford","SEA",44,96,86,25,18,3,0,4,16,15,9,0,12,1,0,0,1,2,0,0.290697674,15491
"Total","Jamie Westbrook","BOS",16,30,24,5,1,2,0,2,4,6,3,0,7,1,1,0,0,0,0,0.208333333,15504
"Total","Amed Rosario","TBR",42,93,89,27,19,7,0,1,7,8,2,0,17,1,1,0,4,2,2,0.303370786,15518
"Total","Mike Ford","CIN",9,18,18,3,3,0,0,0,0,2,0,0,6,0,0,0,1,0,0,0.166666666,15585
"Total","Aaron Judge","NYY",50,106,74,23,10,4,0,9,12,22,30,2,26,2,0,0,3,2,0,0.31081081,15640
"Total","Dominic Smith","BOS",24,38,36,10,6,3,0,1,2,6,2,0,9,0,0,0,0,0,0,0.277777777,15653
"Total","Reese McGuire","BOS",16,20,18,3,2,0,0,1,2,5,0,0,6,1,1,0,0,0,0,0.166666666,15674
"Total","Jose Abreu","HOU",14,32,30,4,2,2,0,0,3,1,1,0,4,1,0,0,1,0,0,0.133333333,15676
"Total","Rowdy Tellez","PIT",24,29,24,6,4,0,0,2,4,3,5,0,6,0,0,0,0,0,0,0.25,15679
"Total","Tyler O'Neill","BOS",53,108,90,30,14,7,0,9,18,14,18,3,35,0,0,0,4,1,0,0.333333333,15711
"Total","Tyler Wade","SDP",12,14,12,2,2,0,0,0,2,1,1,0,2,0,0,1,0,0,0,0.166666666,15730
"Total","Miguel Andujar","OAK",18,34,31,15,11,3,0,1,8,13,3,0,3,0,0,0,1,0,0,0.483870967,15878
"Total","Luis Torrens","NYM",14,23,21,7,3,2,0,2,5,3,1,0,6,0,1,0,0,0,1,0.333333333,15905
"Total","Aledmys Diaz","2 Tms",5,9,9,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0.111111111,15937
"Total","Willy Adames","MIL",61,109,90,20,12,6,0,2,12,14,18,2,22,0,1,0,2,2,2,0.222222222,15986
"Total","Cody Bellinger","CHC",54,97,93,30,24,3,1,2,12,13,2,0,17,1,1,0,1,1,1,0.322580645,15998
"Total","Austin Slater","2 Tms",42,95,79,14,14,0,0,0,9,8,11,0,25,2,3,0,2,2,1,0.177215189,16153
"Total","J.D. Davis","2 Tms",24,51,46,8,7,1,0,0,2,0,5,0,16,0,0,0,2,0,0,0.173913043,16219
