Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Anthony Rizzo","NYY",169,712,20,77,69,0,0.075842696,0.203651685,0.127158556,0.27368421,0.235478806,0.311797752,0.362637362,0.2995018819884074,,92.55966984643956,-6.0778711177408695,-12.27060172341,-6.775399017322343,0.46624593936422287,"Anthony Rizzo",3473,519203
"Alek Thomas","ARI",135,437,11,55,48,10,0.04576659,0.212814645,0.152334152,0.267973856,0.228501228,0.269585253,0.38083538,0.27942010657066013,,72.81470772954906,4.957612379337661,-9.733231007603477,-0.5451572057791054,0.4553534558315961,"Alek Thomas",23792,677950
"Pete Crow-Armstrong","CHC",66,169,1,11,16,18,0.053254437,0.284023668,0.086666666,0.25490196,0.18,0.239263803,0.266666666,0.2277622822603565,,43.89041667150181,3.3809277219697833,-7.878370345291632,6.437311324290931,0.45132792981844005,"Pete Crow-Armstrong",27769,691718
"Joshua Palacios","PIT",96,279,11,30,42,5,0.060931899,0.200716845,0.178988327,0.267015706,0.241245136,0.292418772,0.420233463,0.30686250189151143,,89.92148814697833,0.9383278470486403,-2.6700908442325675,-2.533512415131554,0.43125852502167167,"Joshua Palacios",19818,641943
"Tyler Wade","- - -",87,169,0,25,9,10,0.082840236,0.213017751,0.033333333,0.315789473,0.24,0.309090909,0.273333333,0.26697489528944995,,74.37511208253842,2.1173917870037258,-2.979369183038477,1.4130440290318802,0.4237885869070711,"Tyler Wade",15730,642180
"Alec Burleson","STL",190,663,22,70,81,10,0.055806938,0.13423831,0.162828948,0.274900398,0.263157894,0.309451219,0.425986842,0.3185339205693908,,104.69633277158094,-2.3457279598806053,1.022897491369184,-19.659289238974452,0.41915515944339066,"Alec Burleson",27615,676475
"Rougned Odor","SDP",59,157,4,21,18,2,0.108280254,0.235668789,0.152173913,0.24742268,0.20289855,0.299363057,0.355072463,0.29127801869325576,,85.61952411411782,0.934384330175817,-1.8626085989820411,0.26881420938298106,0.37119961808301966,"Rougned Odor",12282,596059
"Estevan Florial","- - -",55,182,3,16,19,5,0.098901098,0.335164835,0.150943396,0.291666666,0.194968553,0.287292817,0.345911949,0.2819726374926488,,81.33515910560196,1.6651972932741046,-2.3397292783787043,-0.35367088625207543,0.33598853525259614,"Estevan Florial",19151,664314
"Garrett Mitchell","MIL",25,95,3,11,9,1,0.126315789,0.326315789,0.170731707,0.326530612,0.231707317,0.326315789,0.402439024,0.3184499282585947,,100.04763515121843,-0.13347231596708298,-0.11210016424945607,0.11640898266341537,0.3227658918859888,"Garrett Mitchell",27555,669003
"Masataka Yoshida","BOS",185,750,18,88,91,8,0.058666666,0.141333333,0.143063584,0.308771929,0.28034682,0.333333333,0.423410404,0.3295655304590861,,104.30836205018676,-3.0534797217696905,0.8867941768141172,-23.118611334440175,0.3065401229526459,"Masataka Yoshida",31837,807799
"Alex Kirilloff","MIN",145,497,16,55,61,1,0.086519114,0.255533199,0.177272727,0.303630363,0.245454545,0.319919517,0.422727272,0.3215249143540859,,106.84015722611447,-1.7439463278278708,2.4189401363446468,-16.091389797627926,0.2922076335209004,"Alex Kirilloff",20325,666135
"Brett Wisely","SFG",90,266,5,25,23,3,0.056390977,0.263157894,0.117886179,0.294797687,0.227642276,0.272727272,0.345528455,0.2712579071521759,,74.55186619504637,-2.06422504899092,-10.548153976005658,4.041691089980304,0.27297377749606494,"Brett Wisely",27735,689172
"Jung Hoo Lee","SFG",37,158,2,15,8,2,0.063291139,0.082278481,0.068965517,0.272727272,0.262068965,0.310126582,0.331034482,0.28564306716375715,,87.4787094496862,-0.10210756817832589,-2.4147058402687973,-0.40428707795217633,0.26246923218811447,"Jung Hoo Lee",33824,808982
"Billy McKinney","NYY",48,147,6,19,14,1,0.115646258,0.265306122,0.1796875,0.273809523,0.2265625,0.319727891,0.40625,0.31474910819367186,,101.26834588613445,0.278215812984854,0.5016181014864838,-3.3557295436039567,0.2181866565304777,"Billy McKinney",15654,641856
"Colt Keith","DET",80,293,7,27,29,5,0.058020477,0.18771331,0.117216117,0.283018867,0.245421245,0.293515358,0.362637362,0.28819324872265123,,84.99898200336742,0.2848258368903771,-4.849290046223001,-2.653465102543123,0.2072936282983071,"Colt Keith",27899,690993
