Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","JT Chargois","MIA",14,30,3.52173913,5,0,0,3,3,3,2,1,0,7,0.178571428,0.233333333,0.5,0.2976110392603381,13767
"Total","Zach Eflin","TBR",18,196,2.4893617,44,12,0,15,13,3,7,0,1,44,0.236559139,0.266666666,0.349462365,0.2689362700168903,13774
"Total","Alex Wood","OAK",6,45,4,15,3,0,4,4,1,3,0,2,8,0.375,0.444444444,0.525,0.4236172795295715,13781
"Total","Matt Strahm","PHI",32,44,2.61290323,11,1,0,3,3,1,0,0,2,12,0.261904761,0.295454545,0.357142857,0.28885859928347846,13799
"Total","Austin Adams","OAK",35,57,6.56756757,11,6,0,9,9,3,7,2,5,16,0.255813953,0.410714285,0.604651162,0.41749664147694904,13801
"Total","Paul Sewald","ARI",24,43,3.375,7,2,0,4,4,1,4,1,0,12,0.179487179,0.255813953,0.307692307,0.24233105920609974,13892
"Total","Chris Flexen","CHW",20,200,5.91240876,49,10,3,31,30,12,16,0,0,35,0.272222222,0.329949238,0.561111111,0.3771791742537832,13896
"Total","Brent Suter","CIN",34,81,4.42622951,19,3,1,12,10,4,1,0,2,14,0.243589743,0.271604938,0.461538461,0.3142186292895564,13942
"Total","Michael Wacha","KCR",18,205,5.43624161,48,14,1,31,30,7,15,1,0,48,0.259459459,0.311881188,0.459459459,0.3295703064742966,14078
"Total","Kevin Gausman","TOR",18,246,4.55421687,61,20,1,32,28,7,21,0,0,54,0.271111111,0.333333333,0.462222222,0.3447405165288506,14107
"Total","Jose Berrios","TOR",20,275,4.74874372,52,4,2,35,35,14,26,0,7,52,0.216666666,0.310218978,0.425,0.32223656925841837,14168
"Total","Josh Hader","HOU",20,24,2.7,2,0,1,2,2,0,2,0,0,12,0.095238095,0.166666666,0.19047619,0.16077417383591333,14212
"Total","Wandy Peralta","SDP",34,47,5.0625,11,1,0,6,6,2,2,0,3,7,0.261904761,0.340425531,0.428571428,0.3401138097681898,14295
"Total","Frankie Montas","CIN",18,211,6.90225564,51,12,0,38,34,11,26,0,4,35,0.284916201,0.383886255,0.536312849,0.39476575896638266,14309
"Total","Joel Payamps","MIL",39,73,5.0625,19,6,0,10,9,5,5,2,0,13,0.279411764,0.328767123,0.588235294,0.3799395846648955,14332
"Total","Ty Blach","COL",15,76,3.66101695,17,5,0,8,8,3,2,0,1,8,0.239436619,0.266666666,0.436619718,0.30022052526473997,14361
"Total","Tyler Glasnow","LAD",17,192,4.09655172,35,7,1,23,22,8,15,0,0,65,0.2,0.263157894,0.388571428,0.284214722169073,14374
"Total","Amir Garrett","LAA",6,9,3.85714286,2,0,0,1,1,1,1,0,0,5,0.25,0.333333333,0.625,0.40348774194717413,14375
"Total","Yunior Marte","PHI",15,32,7.10526316,9,3,0,7,5,2,4,0,0,5,0.321428571,0.40625,0.642857142,0.4432450123131275,14416
"Total","Jackson Stephens","ATL",3,9,5.39999999,3,0,0,1,1,1,1,0,0,2,0.375,0.444444444,0.75,0.5016536712646484,14420
"Total","Thyago Vieira","3 Tms",25,75,3.63461539,12,3,0,7,7,3,12,1,1,16,0.193548387,0.333333333,0.387096774,0.31837540542757187,14510
"Total","Jose Leclerc","TEX",34,68,3.52173913,11,2,0,6,6,1,11,0,1,18,0.196428571,0.338235294,0.285714285,0.2934248535072102,14524
"Total","Jorge Lopez","2 Tms",29,54,5.25,11,2,0,7,7,3,6,1,1,15,0.234042553,0.333333333,0.468085106,0.3426768644800726,14527
"Total","Carlos Estevez","LAA",32,60,1.6875,10,2,0,3,3,1,4,2,0,15,0.178571428,0.233333333,0.267857142,0.20928287608870144,14542
"Total","Jose Ruiz","PHI",22,48,9,17,3,0,10,10,4,2,0,0,12,0.369565217,0.395833333,0.695652173,0.4629308780034383,14552
"Total","David Bote","CHC",1,3,0,1,1,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.666666666,0.41934653123219806,14593
"Total","Anthony Banda","LAD",26,51,1.42105263,10,3,0,2,2,0,3,0,2,16,0.227272727,0.306122448,0.295454545,0.27491603213913585,14706
"Total","Edwin Diaz","NYM",28,64,6.075,14,2,0,11,9,3,9,0,1,23,0.264150943,0.375,0.471698113,0.3683166401460767,14710
"Total","Paul Blackburn","OAK",7,83,2.49230769,17,5,0,6,6,2,4,0,1,20,0.217948717,0.26506024,0.358974358,0.2737598763891013,14739
"Total","Wes Parsons","2 Tms",3,12,0,2,0,0,0,0,0,0,0,0,2,0.166666666,0.166666666,0.166666666,0.14724889397621155,14764
"Total","Emilio Pagan","CIN",14,26,7.94117647,4,1,0,5,5,3,5,0,0,10,0.19047619,0.346153846,0.666666666,0.4185263101871197,14771
"Total","Buck Farmer","CIN",34,79,2.59615385,17,3,1,5,5,1,11,3,0,16,0.25,0.354430379,0.367647058,0.3098540933508622,14814
"Total","Michael Lorenzen","TEX",17,190,2.4375,22,5,0,13,13,4,29,0,2,42,0.139240506,0.278947368,0.246835443,0.24978432122029756,14843
"Total","Joe Mantiply","ARI",39,68,3.5,13,4,1,7,7,0,2,0,0,15,0.196969696,0.220588235,0.287878787,0.22169400138013504,14857
"Total","Sam Moll","CIN",29,40,3.17647059,6,0,0,5,4,0,2,0,0,14,0.162162162,0.2,0.162162162,0.16702289283275604,14874
