Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Garrett Cooper","2 Tms",25,71,64,11,8,2,0,1,2,7,5,0,21,2,0,0,2,0,0,0.171875,15279
"Total","Jeff McNeil","NYM",84,244,220,50,31,12,0,7,31,24,19,0,28,2,2,1,4,3,1,0.227272727,15362
"Total","Kris Bryant","COL",23,78,65,16,12,2,0,2,6,10,10,0,23,3,0,0,4,0,0,0.246153846,15429
"Total","Hunter Renfroe","KCR",68,197,175,42,24,11,0,7,20,20,20,0,31,2,0,0,5,0,0,0.24,15464
"Total","J.P. Crawford","SEA",68,222,193,33,18,10,1,4,24,15,28,0,61,0,1,0,0,3,0,0.170984455,15491
"Total","Jamie Westbrook","BOS",8,13,11,1,1,0,0,0,0,1,1,0,5,0,1,0,0,0,0,0.09090909,15504
"Total","Amed Rosario","TBR",63,162,157,49,39,6,3,1,14,17,4,0,29,1,0,0,5,7,2,0.31210191,15518
"Total","Mike Ford","CIN",16,44,42,6,4,0,1,1,2,2,2,0,9,0,0,0,0,0,0,0.142857142,15585
"Total","Aaron Judge","NYY",92,326,272,86,40,19,1,26,63,66,47,5,79,5,1,0,9,3,0,0.31617647,15640
"Total","Dominic Smith","BOS",66,183,158,35,22,9,0,4,19,24,22,0,37,3,0,0,5,1,1,0.221518987,15653
"Total","Reese McGuire","BOS",48,130,114,23,19,2,0,2,7,12,12,0,32,1,2,1,4,3,0,0.201754385,15674
"Total","Jose Abreu","HOU",28,75,72,10,8,0,0,2,6,6,2,0,21,0,1,0,3,0,0,0.138888888,15676
"Total","Rowdy Tellez","PIT",78,237,217,54,38,10,0,6,24,30,14,0,45,1,5,0,9,1,0,0.248847926,15679
"Total","Luis Castillo","SEA",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15689
"Total","Tyler O'Neill","BOS",66,191,173,39,24,6,0,9,32,22,14,1,67,3,1,0,5,1,0,0.225433526,15711
"Total","Tyler Wade","SDP",47,90,80,18,16,2,0,0,13,4,6,0,18,1,0,2,0,6,1,0.225,15730
"Total","Miguel Andujar","OAK",50,184,178,47,35,9,0,3,17,13,4,0,28,1,1,0,6,2,1,0.264044943,15878
"Total","Luis Torrens","NYM",16,41,37,9,5,3,0,1,6,7,3,0,6,1,0,0,1,0,0,0.243243243,15905
"Total","Aledmys Diaz","2 Tms",10,25,24,2,2,0,0,0,1,1,1,0,6,0,0,0,0,0,0,0.083333333,15937
"Total","Willy Adames","MIL",95,321,287,73,42,17,0,14,40,52,31,0,77,1,2,0,9,10,1,0.2543554,15986
"Total","Cody Bellinger","CHC",72,233,209,52,34,11,0,7,26,22,21,2,41,2,1,0,6,4,1,0.248803827,15998
"Total","Austin Slater","2 Tms",18,32,25,6,4,1,0,1,3,4,5,0,9,1,1,0,0,0,0,0.24,16153
"Total","J.D. Davis","2 Tms",31,91,83,18,12,4,0,2,8,4,6,0,19,2,0,0,3,0,0,0.216867469,16219
"Total","Trea Turner","PHI",56,175,165,59,43,8,0,8,31,25,7,0,33,3,0,0,1,5,0,0.357575757,16252
"Total","Kyle Freeland","COL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16256
"Total","Nick Gordon","MIA",79,217,205,50,35,8,1,6,22,28,9,0,53,0,3,0,4,5,4,0.243902439,16337
"Total","Pablo Reyes","BOS",15,36,32,5,5,0,0,0,4,1,3,0,10,1,0,0,1,1,1,0.15625,16357
"Total","Michael Conforto","SFG",74,216,195,39,19,12,2,6,18,28,19,1,48,1,1,0,4,0,0,0.2,16376
"Total","Thairo Estrada","SFG",79,238,227,51,33,10,2,6,29,29,6,0,45,5,0,0,6,1,2,0.224669603,16426
"Total","Ryan O'Hearn","BAL",80,279,249,69,45,10,2,12,38,36,27,2,32,2,1,0,3,3,0,0.277108433,16442
"Total","Luis Guillorme","2 Tms",40,112,99,25,18,6,1,0,8,6,11,0,19,0,1,1,5,1,2,0.252525252,16451
"Total","Rhys Hoskins","MIL",72,233,205,43,25,8,0,10,22,31,21,0,66,5,1,0,5,2,0,0.209756097,16472
"Total","Kyle Schwarber","PHI",80,248,200,36,19,6,0,11,41,31,40,2,71,2,6,0,1,0,1,0.18,16478
"Total","Forrest Wall","ATL",11,29,26,6,6,0,0,0,3,1,3,0,6,0,0,0,0,3,3,0.23076923,16496
"Total","Matt Chapman","SFG",96,303,265,55,34,13,0,8,46,26,34,0,78,4,0,0,8,8,1,0.207547169,16505
