Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Niko Goodrum","2 Tms",4,8,6,1,1,0,0,0,2,0,2,0,1,0,0,0,0,0,1,0.166666666,12092
"Total","Juniel Querecuto","STL",5,8,7,1,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0.142857142,12140
"Total","Max Kepler","MIN",94,139,127,32,22,4,1,5,18,14,9,0,32,2,1,0,4,0,0,0.251968503,12144
"Total","Nick Ahmed","2 Tms",95,189,175,35,29,3,1,2,11,14,13,0,42,0,1,0,3,4,1,0.2,12147
"Total","Eddie Rosario","2 Tms",76,99,87,19,15,1,0,3,6,9,8,0,22,1,1,2,3,1,1,0.218390804,12155
"Total","Austin Barnes","LAD",42,85,74,11,9,2,0,0,3,5,8,0,17,1,0,2,4,0,1,0.148648648,12158
"Total","Ben Gamel","2 Tms",5,4,4,2,0,2,0,0,4,2,0,0,2,0,0,0,0,1,0,0.5,12160
"Total","Xander Bogaerts","SDP",103,221,201,54,33,15,1,5,35,16,17,0,33,0,3,0,6,10,0,0.268656716,12161
"Total","Miguel Sano","LAA",11,21,17,4,3,1,0,0,1,0,4,0,3,0,0,0,1,0,0,0.235294117,12164
"Total","Jorge Alfaro","2 Tms",9,18,16,5,2,3,0,0,0,0,2,0,4,0,0,0,1,0,0,0.3125,12180
"Total","Rougned Odor","SDP",14,18,17,3,2,1,0,0,1,0,1,0,7,0,0,0,0,0,0,0.176470588,12282
"Total","Jace Peterson","2 Tms",43,63,55,10,8,2,0,0,3,3,6,0,16,0,1,1,1,0,0,0.181818181,12325
"Total","Taylor Motter","STL",17,30,27,4,2,2,0,0,0,1,2,0,14,1,0,0,0,0,0,0.148148148,12399
"Total","Kevin Pillar","3 Tms",101,180,172,50,28,12,1,9,23,30,5,0,40,2,1,0,2,4,1,0.290697674,12434
"Total","Curt Casali","2 Tms",31,66,56,12,9,3,0,0,4,3,9,0,11,0,0,1,1,0,0,0.214285714,12510
"Total","Kolten Wong","2 Tms",26,31,30,4,3,0,0,1,1,2,1,0,10,0,0,0,0,0,0,0.133333333,12532
"Total","Marcus Semien","TEX",146,324,290,82,49,23,3,7,51,34,31,1,49,3,0,0,0,4,2,0.28275862,12533
"Total","C.J. Cron","2 Tms",38,66,60,14,7,5,0,2,7,6,6,0,16,0,0,0,3,0,0,0.233333333,12546
"Total","Eugenio Suarez","2 Tms",120,254,211,49,36,9,0,4,25,24,35,0,85,3,5,0,8,0,0,0.232227488,12552
"Total","Trevor Story","BOS",26,45,41,9,5,3,0,1,6,4,4,1,14,0,0,0,1,4,0,0.219512195,12564
"Total","Brad Miller","TEX",4,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,12775
"Total","George Springer","TOR",113,224,191,43,29,7,0,7,28,22,29,0,39,0,2,0,7,6,1,0.22513089,12856
"Total","James McCann","BAL",71,174,169,33,18,9,0,6,17,20,4,0,40,0,1,0,4,0,0,0.195266272,12859
"Total","Anthony Rendon","LAA",31,70,59,14,10,3,0,1,7,9,10,0,11,1,0,0,3,2,0,0.237288135,12861
"Total","Francisco Lindor","NYM",142,305,279,81,44,16,0,21,55,50,19,1,44,6,1,0,6,13,1,0.29032258,12916
"Total","Brandon Nimmo","NYM",159,331,299,84,56,20,2,6,32,29,18,0,70,12,2,0,3,3,0,0.280936454,12927
"Total","Austin Hedges","3 Tms",53,113,100,14,10,2,0,2,8,10,6,0,30,2,2,3,4,1,0,0.14,12976
"Total","Michael Perez","NYM",2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12977
"Total","Javier Baez","DET",87,181,166,37,27,5,1,4,26,22,13,0,31,1,1,0,4,4,0,0.222891566,12979
"Total","Cam Gallagher","CLE",27,52,51,7,4,3,0,0,0,2,1,0,11,0,0,0,0,0,0,0.137254901,12981
"Total","Jackie Bradley Jr.","KCR",18,36,32,4,2,2,0,0,5,3,3,0,12,0,0,1,0,0,0,0.125,12984
"Total","Teoscar Hernandez","2 Tms",118,243,231,66,35,16,0,15,34,46,10,3,69,0,2,0,3,2,2,0.285714285,13066
"Total","Josh Bell","2 Tms",138,309,274,67,36,20,0,11,20,41,33,2,59,0,2,0,12,0,1,0.244525547,13145
"Total","Jorge Polanco","2 Tms",66,138,132,37,29,4,0,4,13,20,5,0,29,1,0,0,3,1,1,0.28030303,13152
"Total","Orlando Arcia","ATL",112,198,175,41,22,11,0,8,27,21,20,1,48,0,3,0,5,0,0,0.234285714,13185
"Total","Mike Zunino","CLE",22,40,34,9,6,2,0,1,6,5,6,0,19,0,0,0,1,0,0,0.264705882,13265
"Total","Max Muncy","LAD",114,214,183,29,14,2,0,13,29,30,22,0,52,7,2,0,4,0,1,0.158469945,13301
