Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Tyler Anderson","LAA",20,381,2.90322581,76,17,2,30,30,9,36,1,1,66,0.222222222,0.296587926,0.362573099,0.29046393632888795,12880
"Total","Joe Musgrove","SDP",8,101,5.32394366,28,5,0,14,14,6,8,0,2,25,0.307692307,0.376237623,0.56043956,0.40217127245251494,12970
"Total","Joe Ross","MIL",9,91,5.5862069,22,5,0,13,12,3,10,0,1,19,0.275,0.362637362,0.45,0.3566354762066852,12972
"Total","Austin Hedges","CLE",1,3,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333,0,0.22999258836110434,12976
"Total","Andrew Chafin","DET",37,84,3.92727273,22,2,0,10,8,1,7,1,1,21,0.293333333,0.357142857,0.36,0.3159208218735385,12988
"Total","Colten Brewer","CHC",16,50,8.37931034,16,4,1,10,9,1,5,0,0,7,0.372093023,0.42,0.581395348,0.41940061330795286,12997
"Total","Yu Darvish","SDP",9,107,3.46153846,20,7,1,11,10,4,7,0,1,24,0.208333333,0.264150943,0.427083333,0.2948307912304716,13074
"Total","Gerrit Cole","NYY",7,68,6.1875,16,1,1,11,11,5,5,0,2,14,0.262295081,0.338235294,0.557377049,0.38215400979799385,13125
"Total","Derek Law","WSN",48,155,3.19090909,42,6,1,16,13,4,7,0,1,24,0.29787234,0.324675324,0.439716312,0.3267166989964324,13133
"Total","Jordan Weems","WSN",39,112,5.0625,22,3,1,18,15,5,12,0,1,22,0.222222222,0.3125,0.424242424,0.32272481865116526,13190
"Total","Ross Stripling","OAK",11,107,7.875,29,8,0,23,21,3,7,0,1,15,0.292929292,0.345794392,0.464646464,0.35226156332782493,13273
"Total","Matt Carasiti","COL",7,20,4.76470588,3,0,0,3,3,1,0,0,1,6,0.157894736,0.2,0.315789473,0.22730476260185242,13276
"Total","Danny Coulombe","BAL",27,54,3.52173913,6,1,0,6,6,3,3,0,0,19,0.117647058,0.166666666,0.31372549,0.20867991226690788,13293
"Total","Ildemaro Vargas","WSN",1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0.8834933638572693,13324
