Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Patrick Corbin","WSN",11,23,0,50,50,280,6.171428571428572,2.9571428571428573,1.5107142857142857,0.3160854893138358,0.68850639,0.448801742,0.152103559,91.75426059299045,5.303571428571429,,5.084241839817592,4.652324869164398,1.5420905947685242,"Patrick Corbin",9323,571578
"Kyle Freeland","COL",6,17,0,36,36,191,5.418848492218846,2.5445027702592844,1.5549739151584514,0.3160377358490566,0.67678425,0.406060606,0.12890625,89.84391220301798,5.32460764887591,,5.160183579573205,5.084868237217886,1.5030767619609833,"Kyle Freeland",16256,607536
"Nick Lodolo","CIN",10,4,0,19,19,104.1,10.351437825838982,2.5015974745777543,1.4664536919938558,0.3248175182481752,0.81123245,0.461805555,0.161904761,94.05756341585257,4.054313148453602,,4.336415677559646,3.754091134284489,1.4702144749462605,"Nick Lodolo",26378,666157
"Sam Hentges","CLE",3,2,0,80,0,75,9.840002252197781,2.7600006317140116,0.4800001098633064,0.325,0.70601852,0.55721393,0.086956521,95.57633463541667,3.3600007690431446,,2.6550400623496,2.925998202473241,1.4625651836395264,"Sam Hentges",18548,656529
"Brennan Bernardino","BOS",5,3,0,87,8,82,9.439026695572,3.4024398553806043,0.4390244974684651,0.3194444444444444,0.80827068,0.476851851,0.0625,90.02740478515625,2.6341469848107906,,3.1847388462966393,3.7739370888756465,1.4488645568490028,"Brennan Bernardino",16835,657514
"Logan Allen","CLE",15,12,0,42,42,212.2,8.252351491915018,3.512539352968956,1.4388715421800544,0.3184818481848185,0.76290202,0.426984126,0.141666666,91.48624101082741,4.5705331339837025,,4.70469906098544,4.393345781418107,1.4247802197933197,"Logan Allen",27589,671106
"Brent Suter","- - -",4,3,0,91,5,117,7.15384685358359,2.615384871202603,0.8461539289184892,0.2910662824207493,0.68350669,0.445714285,0.088709677,,3.5384618845682274,,3.8259300860020433,4.2602775047141375,1.4241351447999477,"Brent Suter",13942,608718
"Mitchell Parker","WSN",5,5,0,16,16,91.2,7.265454747021893,1.865454597208324,1.1781818508684152,0.2593984962406015,0.72446556,0.405797101,0.109090909,92.71534871842496,3.436363731699544,,3.908622706793163,3.9551008526632856,1.366023302078247,"Mitchell Parker",27636,680730
"Alex Vesia","LAD",3,7,6,94,1,89.1,11.485076752079035,3.5261200554628616,1.108209160288328,0.28502415458937197,0.7775378,0.272300469,0.091666666,94.14871212734612,3.0223886189681672,,3.54048793069637,4.048516363073976,1.3465518355369568,"Alex Vesia",25007,681911
"Caleb Ferguson","- - -",8,7,4,103,7,88.1,10.698115671551554,3.66792537310339,0.8150945273563088,0.35684647302904565,0.69875776,0.473469387,0.109589041,95.29834386252573,4.075472636781544,,3.589335495721941,3.7138408647201935,1.337289646267891,"Caleb Ferguson",19349,657571
"A.J. Minter","ATL",8,9,11,97,0,88,10.943183478491617,2.7613640553203145,1.1250001706860542,0.29411764705882354,0.76271186,0.371428571,0.118279569,95.78015659619645,3.4772732548478036,,3.345280869341113,3.4073022776678985,1.336044430732727,"A.J. Minter",18655,621345
"James Paxton","- - -",14,7,0,35,35,176.2,7.998113322680683,3.718867978061719,1.426415114872988,0.2782258064516129,0.7495069,0.397286821,0.137254901,94.5071875,4.381132138538463,,4.788336464094227,4.522585300824546,1.313740074634552,"James Paxton",11828,572020
"Gregory Soto","PHI",4,7,5,104,0,89.2,10.03717671391475,3.814127151287605,0.7026023699740326,0.296137339055794,0.64748201,0.497890295,0.088607594,98.76834876019022,4.315985986983343,,3.5161379804690642,3.907551193611349,1.2971317768096924,"Gregory Soto",19677,642397
"Aaron Bummer","- - -",7,7,0,93,0,89.2,11.24163911521998,4.717473557279813,0.5018588890723206,0.3659574468085106,0.62318841,0.569620253,0.108695652,94.5617052443484,5.721191335424455,,3.2576642691135236,3.343702200422437,1.2771613597869873,"Aaron Bummer",16258,607481
"Robert Garcia","- - -",2,5,0,64,0,62.1,10.97326477947703,3.176471383532825,0.8663103773271341,0.32903225806451614,0.63739377,0.467532467,0.127659574,94.3940806833438,4.33155188663567,,3.083759782103744,3.0065852443447767,1.2635425925254822,"Robert Garcia",23363,676395
"Julio Urías","LAD",11,8,0,21,21,117.1,8.974432207212978,1.8409091707103544,1.8409091707103544,0.2829581993569132,0.74723247,0.370820668,0.161073825,92.8655462184874,4.6022729267758855,,4.686858603382902,4.127336516672884,1.2228851318359375,"Julio Urias",14765,628711
"Bailey Falter","- - -",6,16,0,35,31,171,6.368421301250286,2.526315888099287,1.5263158490599857,0.2821011673151751,0.6890849,0.376865671,0.131221719,91.39533257774482,4.684210709184094,,4.840007447910276,4.633116923109609,1.1938970973715186,"Bailey Falter",20070,663559
"A.J. Puk","MIA",9,13,16,84,4,94.1,10.685514239950619,3.2438168228421524,1.2402829028514113,0.30522088353413657,0.64935065,0.42084942,0.13,95.60182220997287,4.388693348551147,,3.8134480547211362,3.6892205909207156,1.1931962817907333,"A.J. Puk",19343,640462
"Cole Irvin","BAL",7,9,0,41,26,162,7.111111404146853,2.277777871640789,1.2222222725877403,0.30218687872763417,0.68647541,0.392307692,0.107317073,92.0945336657843,4.444444627591783,,4.357073520618615,4.543186394461538,1.1910808980464935,"Cole Irvin",19244,608344
"Tyler Holton","DET",7,3,3,93,2,132.1,7.4811095703222765,1.904282436082034,0.952141218041017,0.20857142857142857,0.78685259,0.441666666,0.106870229,91.69116664676072,2.6523933931142616,,3.6846594417014984,3.8718169467489707,1.1792373172938824,"Tyler Holton",26231,663947
"David Peterson","NYM",6,8,0,34,28,148.2,9.383408292457109,3.9955157890462525,1.2107623603170463,0.35135135135135137,0.7535545,0.543735224,0.185185185,93.03831762197066,4.661435087220628,,4.429994084547192,3.839922111054891,1.1523200571537018,"David Peterson",20302,656849
"Tim Mayza","TOR",3,2,1,104,0,78,7.9615413818144365,3.115385758101301,0.576923288537278,0.3446808510638298,0.74528302,0.508403361,0.084745762,,3.5769243889311237,,3.329700852310868,3.6689082956533006,1.141416072845459,"Tim Mayza",15042,641835
"Matthew Liberatore","STL",5,8,0,52,16,110.2,6.831326341227727,3.4156631706138634,0.8132531358604437,0.2948328267477204,0.64285714,0.421686746,0.081300813,94.44638056462479,4.635542874404529,,4.1466951091742725,4.710204798096751,1.1174506396055222,"Matthew Liberatore",22294,669461
"Joe Mantiply","ARI",5,3,1,76,5,72.2,6.811928542493047,2.2293584320886337,0.49541298490858526,0.28440366972477066,0.57397959,0.515981735,0.052631578,89.99487813313802,4.582570110404413,,3.159114560808766,4.075394086721642,1.078564092516899,"Joe Mantiply",14857,573009
"JP Sears","OAK",10,21,0,50,50,267.1,7.7094764559068265,2.7942643923155748,1.5822942944437592,0.2757255936675462,0.7486631,0.317380352,0.117206982,93.0482233191906,4.6122195391232985,,5.01919598071235,5.111549413926309,1.046534776687622,"JP Sears",23429,676664
"Keegan Akin","BAL",4,2,0,61,1,68.1,10.27317350361551,2.634147052209105,1.0536588208836422,0.31693989071038253,0.60686016,0.349462365,0.094117647,93.81376096810868,4.873172046586845,,3.3583398903401083,3.732013592576957,1.0412241779267788,"Keegan Akin",19362,669211
"Cody Bradford","TEX",7,3,0,23,11,75.1,8.123894559495978,1.6725665269550543,1.4336284516757607,0.2571428571428571,0.68535826,0.327272727,0.110091743,90.3054389458198,4.300885355027282,,4.095227697410689,4.335835134438934,1.0131889842450619,"Cody Bradford",27597,674003
"Colin Poche","TBR",13,4,3,89,0,82.2,8.600807906872026,3.266129584888111,0.8709678893034963,0.2336448598130841,0.82262211,0.334862385,0.076190476,92.31353879442402,2.504032681747552,,3.7033325102394046,4.47637975218657,0.9969357177615166,"Colin Poche",19403,621363
"Andrew Chafin","- - -",6,6,9,95,0,79.1,11.231095317191839,4.53781628977448,0.907563257954896,0.33497536945812806,0.6805293,0.387559808,0.096385542,92.12901156556373,4.424370882530118,,3.5894446057212743,3.9240997149662182,0.9936462044715881,"Andrew Chafin",12988,605177
"Will Smith","- - -",2,10,23,91,0,85,7.623530951371554,2.8588241067643323,0.9529413689214442,0.26778242677824265,0.61085973,0.281632653,0.075,92.06591998644112,4.552942095958011,,3.896908823260884,4.743652280621793,0.9557425379753113,"Will Smith",8048,519293
"Wade Miley","MIL",9,5,0,25,25,127.1,5.725131118739707,2.9685865060131813,1.2015707286243829,0.23404255319148937,0.80188679,0.466145833,0.118881118,90.47067410570091,3.321989661490941,,4.797310177758893,4.909226453877188,0.9468763545155525,"Wade Miley",8779,489119
"Marco Gonzales","- - -",4,1,0,13,13,67,6.044776119402985,3.08955223880597,0.8059701492537313,0.3047619047619048,0.66193853,0.410377358,0.08,89.54812640344312,4.567164179104478,,4.0833984261128435,4.714279869732572,0.9410915672779083,"Marco Gonzales",15467,594835
"Brooks Raley","NYM",2,2,3,74,0,61.2,10.216219323426015,4.086487729370406,0.5837839613386294,0.27450980392156865,0.81989247,0.419354838,0.063492063,90.17362060546876,2.4810818356891753,,3.47205149196091,4.2924245302825295,0.9393134713172913,"Brooks Raley",10061,548384
"Jordan Wicks","CHC",5,3,0,14,13,62.2,8.042553885051118,3.0159577068941696,1.0053192356313898,0.30158730158730157,0.69948187,0.432291666,0.114754098,92.87308584008728,4.3085110098488135,,3.9815733419843604,4.044785781463638,0.881509605795145,"Jordan Wicks",30094,696136
"Adrian Morejon","SDP",2,1,0,38,1,47.2,9.062939359702902,3.0209797865676338,0.3776224733209542,0.3382352941176471,0.73529412,0.507462686,0.04347826,96.40195850908982,3.209791023228111,,2.7219258432801503,3.623654896935548,0.8799075875431299,"Adrian Morejon",20039,670970
"Tanner Banks","CHW",3,6,3,68,4,103.1,8.448388058417407,2.351613170899691,1.3064517616109392,0.29411764705882354,0.66666667,0.412541254,0.120967741,93.13421872365389,4.354839205369798,,4.15760190902425,4.1689815955003535,0.8783737272024155,"Tanner Banks",16990,621383
"Matthew Boyd","DET",5,5,0,15,15,71,9.253522121109452,3.1690144250374837,1.3943663470164926,0.3020833333333333,0.62034739,0.388059701,0.126436781,91.64313122234513,5.450704811064472,,4.353632026843398,4.3654855857743255,0.8692860007286072,"Matthew Boyd",15440,571510
"Jalen Beeks","- - -",7,7,9,69,8,86.1,8.444016687697582,3.9613905448457793,0.8339769568096377,0.29435483870967744,0.63752277,0.442687747,0.08080808,94.70626629794751,5.003861740857826,,3.9282175595962814,4.5011949402764735,0.8646783381700516,"Jalen Beeks",17192,656222
"Martín Pérez","- - -",11,8,0,48,33,210.1,6.204437776038856,3.038035048956957,1.3264660072910657,0.3089802130898021,0.73617339,0.449189985,0.128099173,91.97991861979166,4.535657960414612,,4.861733665063709,4.773283925484371,0.8644234091043472,"Martin Perez",6902,527048
