Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Tyler Stephenson","CIN",55,97,87,21,12,5,0,4,16,13,9,1,14,0,1,0,1,0,0,0.24137931,17988
"Total","David Fletcher","ATL",3,6,5,1,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0.2,17992
"Total","Paul DeJong","CHW",47,80,74,14,10,2,0,2,9,5,4,0,26,1,1,0,3,0,0,0.189189189,18015
"Total","Harrison Bader","NYM",55,101,92,18,12,4,0,2,8,11,6,1,21,1,2,0,4,2,1,0.195652173,18030
"Total","Jake Cronenworth","SDP",64,126,113,20,16,3,0,1,9,12,10,0,26,2,1,0,6,1,0,0.17699115,18036
"Total","Dylan Moore","SEA",53,106,90,21,10,8,1,2,12,7,11,0,29,2,3,0,1,11,1,0.233333333,18042
"Total","Sam Haggerty","SEA",5,11,11,1,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0.09090909,18054
"Total","Garrett Stubbs","PHI",27,48,41,10,10,0,0,0,4,2,5,0,11,1,0,0,0,1,0,0.243902439,18067
"Total","LaMonte Wade Jr.","SFG",15,25,18,7,5,2,0,0,2,3,5,0,2,1,1,0,0,1,0,0.388888888,18126
"Total","Seth Brown","OAK",15,14,14,3,3,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0.214285714,18171
"Total","Brett Sullivan","SDP",2,4,4,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0.5,18217
