Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Jonah Heim","TEX",219,838,27,94,135,3,0.072792362,0.18973747,0.153246753,0.27843803,0.248051948,0.303102625,0.401298701,0.30533311483962683,,92.20193404661319,-3.670815373887308,-11.191479639855809,23.606310739647597,4.050015063820333,"Jonah Heim",16930,641680
"Carlos Santana","- - -",240,986,37,115,132,9,0.104462474,0.165314401,0.189714286,0.257731958,0.242285714,0.323529411,0.432,0.3277108210737143,,107.71920209373583,-0.5235485009616241,8.349662903456647,-6.035426719579846,3.5869312931610944,"Carlos Santana",2396,467793
"Jeimer Candelario","- - -",230,951,38,117,117,12,0.080967402,0.229232386,0.215801887,0.282136894,0.244103773,0.317894736,0.45990566,0.33374277970710386,,109.49052282166683,0.20833080407464877,11.439894970328147,-9.271078050136566,3.4390549190444815,"Jeimer Candelario",13621,600869
"Luis Rengifo","LAA",198,726,22,91,80,28,0.074380165,0.163911845,0.158295282,0.313461538,0.281582952,0.343448275,0.439878234,0.34044856696293274,,116.87069137614415,0.9880877924151719,15.433536994075546,-9.794861679896712,3.044242811050627,"Luis Rengifo",19858,650859
"Geraldo Perdomo","ARI",183,646,6,94,58,17,0.117647058,0.165634674,0.10408922,0.296296296,0.249070631,0.346581875,0.353159851,0.3130885896029746,,96.34036424800686,2.6585220620036125,-0.15354975325486642,7.26108330860734,2.91127218767148,"Geraldo Perdomo",22799,672695
"Leody Taveras","TEX",241,909,21,104,93,26,0.07150715,0.204620462,0.140625,0.3,0.252403846,0.30564784,0.393028846,0.3041197291904378,,91.2519349813663,3.0611898395000026,-6.213969178160362,4.603001167997718,2.9062869248914365,"Leody Taveras",18900,665750
"Blake Perkins","MIL",146,459,10,68,48,19,0.108932461,0.267973856,0.1191067,0.317343173,0.238213399,0.326039387,0.357320099,0.3056693691393479,,94.01864994575614,2.951131152920425,-0.39799791258813233,11.54795051063411,2.72557746444127,"Blake Perkins",19921,663368
"Tommy Edman","STL",137,528,13,69,47,27,0.066287878,0.159090909,0.150313153,0.274611398,0.248434237,0.306666666,0.39874739,0.30557404299273744,,92.3220446564299,2.837494027262437,-2.184751749898556,8.407597747631371,2.403534324844109,"Tommy Edman",19470,669242
"Victor Caratini","- - -",102,345,12,37,43,1,0.069565217,0.176811594,0.151612903,0.27983539,0.258064516,0.315942028,0.409677419,0.31499842750853385,,99.13518275288799,-3.0539194219745696,-3.5017659494853683,10.24323963955976,1.8480848509404204,"Victor Caratini",14968,605170
"Yoán Moncada","CHW",103,401,11,43,40,2,0.062344139,0.291770573,0.160857909,0.353658536,0.262734584,0.311720698,0.423592493,0.3177115356832966,,100.75976314797121,-0.7735237691085786,-0.4437167364622896,0.9022986113559455,1.4190870453032784,"Yoan Moncada",17232,660162
"Jurickson Profar","- - -",228,942,25,110,108,6,0.102972399,0.161358811,0.14945322,0.298621745,0.267314702,0.350372736,0.416767922,0.3367350598388135,,109.42752618444133,-4.971759120642673,4.62774178372986,-23.700180156622082,1.3944834951755325,"Jurickson Profar",10815,595777
"Abraham Toro","- - -",86,329,8,36,34,4,0.042553191,0.176291793,0.133116883,0.309917355,0.269480519,0.31402439,0.402597402,0.31270737203253884,,105.84538480216223,0.1491700563346967,2.627574822779399,-1.1310817988123745,1.255030029365819,"Abraham Toro",19844,647351
"Wenceel Pérez","DET",84,326,7,44,27,9,0.070552147,0.202453987,0.147157191,0.308370044,0.257525083,0.311728395,0.404682274,0.31255535321471134,,102.02534314884308,2.3366358717903495,3.1025317439834246,-3.3872465160675347,1.0669051820370434,"Wenceel Perez",22857,672761
"Jorge Polanco","- - -",147,606,20,58,67,6,0.100660066,0.280528052,0.154562384,0.297142857,0.230912476,0.313531353,0.38547486,0.30715738978267704,,98.5275010371364,-0.7042137299431488,-1.5021593059481022,-8.227257397025824,1.0387558746402885,"Jorge Polanco",13152,593871
"Ildemaro Vargas","WSN",153,494,5,49,53,7,0.070850202,0.082995951,0.103139013,0.26980198,0.255605381,0.310061601,0.358744394,0.2943264479754642,,84.80439605624521,-0.6442892677150667,-9.81161661868919,2.511064652004279,0.9562318161616956,"Ildemaro Vargas",13324,545121
"Xavier Edwards","MIA",52,174,0,24,11,10,0.086206896,0.16091954,0.045454545,0.3984375,0.331168831,0.389534883,0.376623376,0.3413456914036773,,117.08182301935268,0.9247264829464257,4.314118832742814,-1.7296197703108191,0.8734163820577622,"Xavier Edwards",22266,669364
"Drew Waters","KCR",105,356,8,42,33,16,0.081460674,0.31741573,0.144654088,0.32,0.226415094,0.300561797,0.371069182,0.29443312126599,,81.19757327683743,1.5300050340592861,-6.467639600576886,2.347973035648465,0.8013276288569802,"Drew Waters",20505,671221
"Endy Rodríguez","PIT",57,204,3,27,13,0,0.083333333,0.240196078,0.107526882,0.281481481,0.220430107,0.284313725,0.327956989,0.2709816556935217,,65.40062110564541,0.6514390269294381,-8.092697462396643,7.448965203016996,0.6246979534238524,"Endy Rodriguez",25332,682848
"Rafael Marchán","PHI",17,56,3,8,6,0,0.053571428,0.142857142,0.25490196,0.3,0.294117647,0.345454545,0.549019607,0.38299971277063544,,148.938656465748,-0.5033255615271628,2.7112289817648563,1.4165338892489672,0.6239758741334422,"Rafael Marchan",21646,665561
"Taylor Walls","TBR",132,459,8,62,40,27,0.135076252,0.270152505,0.111959288,0.254752851,0.190839694,0.301310043,0.302798982,0.2753483249630991,,77.63406207133157,4.955550216138363,-7.159358967313299,-3.135496348142624,0.5120771565866384,"Taylor Walls",22458,670764
"Tyler Heineman","- - -",24,50,0,5,3,1,0.16,0.18,0.075,0.29032258,0.225,0.38,0.3,0.32009600520133974,,103.68818716058344,0.5352275497280061,0.7174524020214801,2.0631581768393517,0.44771565465528856,"Tyler Heineman",13897,623168
"Aaron Hicks","- - -",111,375,9,50,41,6,0.128,0.245333333,0.116564417,0.296460176,0.233128834,0.330666666,0.349693251,0.3043758473931787,,94.48361283435167,1.2172280619852245,-1.0695519737954475,-7.110714998096228,0.43483928690364887,"Aaron Hicks",5297,543305
"Yasmani Grandal","- - -",163,547,11,43,50,1,0.074954296,0.199268738,0.108433735,0.259842519,0.220883534,0.283882783,0.329317269,0.2715379284062517,,69.30005924440546,-4.093217538669705,-23.999271671404873,8.635332259815186,0.3441711293882207,"Yasmani Grandal",11368,518735
"Drew Millas","WSN",22,65,2,3,7,2,0.092307692,0.2,0.155172413,0.255813953,0.224137931,0.296875,0.379310344,0.29741105530411005,,87.61444868817114,0.5317909861914814,-0.34813325917445925,1.1529338853433728,0.30056473382125387,"Drew Millas",25643,686452
"Jasson Domínguez","NYY",8,33,4,6,7,1,0.06060606,0.242424242,0.419354838,0.210526315,0.258064516,0.303030303,0.677419354,0.40301700433095294,,162.4487594874789,0.09851330518722534,2.5677932772464005,-0.8323802668601274,0.2858165117168146,"Jasson Dominguez",28080,691176
"Ronny Mauricio","NYM",26,108,2,11,9,7,0.064814814,0.287037037,0.099009901,0.338235294,0.247524752,0.296296296,0.346534653,0.2835439934774681,,79.77439425156257,1.4148032674565911,-1.291296168695299,0.4194835568778217,0.2777711381488231,"Ronny Mauricio",23698,677595
"Brooks Lee","MIN",16,71,2,6,10,1,0.070422535,0.154929577,0.107692307,0.264150943,0.246153846,0.295774647,0.353846153,0.28604477811867085,,85.28565822268081,-0.22548982873558998,-1.437350528632135,1.7639525977429003,0.27261232641017547,"Brooks Lee",31595,686797
"Angel Martínez","CLE",20,85,2,8,5,1,0.117647058,0.152941176,0.150684931,0.27118644,0.246575342,0.333333333,0.397260273,0.3217171395108813,,110.72281670225031,0.6119385370984674,1.6691973683132049,-1.8095016404986382,0.27133785492700957,"Angel Martinez",26540,682657
"Greg Allen","NYY",22,28,1,6,1,3,0.071428571,0.357142857,0.260869565,0.333333333,0.217391304,0.333333333,0.478260869,0.34909676180945504,,125.07545749080057,0.14735989004839212,0.988637779532381,-0.41627433337271214,0.15275443866429178,"Greg Allen",16623,656185
