Name,Team,MLBAMID
Andre Granillo,St. Louis Cardinals,701552
Kendall Graveman,Arizona Diamondbacks,608665
Jon Gray,Texas Rangers,592351
Sonny Gray,St. Louis Cardinals,543243
Chad Green,Toronto Blue Jays,643338
Hunter Greene,Cincinnati Reds,668881
Luis Guerrero,Boston Red Sox,692285
Ryan Gusto,Miami Marlins,687473
Justin Hagenman,New York Mets,663795
Jesse Hahn,Seattle Mariners,534910
Seth Halvorsen,Colorado Rockies,678020
Dom Hamel,New York Mets,687589
Ian Hamilton,New York Yankees,641656
Emerson Hancock,Seattle Mariners,676106
Brenan Hanifee,Detroit Tigers,669724
Thomas Harrington,Pittsburgh Pirates,802419
Geoff Hartlieb,Detroit Tigers,664129
Hunter Harvey,Kansas City Royals,640451
Thomas Hatch,Minnesota Twins,641672
Ryan Helsley,New York Mets,664854
Logan Henderson,Milwaukee Brewers,701656
Kyle Hendricks,Los Angeles Angels,543294
Liam Hendriks,Boston Red Sox,521230
Edgardo Henriquez,Los Angeles Dodgers,683618
Ronny Henriquez,Miami Marlins,678692
Cole Henry,Washington Nationals,669371
Jimmy Herget,Colorado Rockies,623474
Kevin Herget,New York Mets,643361
Carlos Hernández,Cleveland Guardians,672578
Daysbel Hernández,Atlanta Braves,678226
Nick Hernandez,Houston Astros,663321
Codi Heuer,Detroit Tigers,676051
Jordan Hicks,Boston Red Sox,663855
Jaden Hill,Colorado Rockies,677955
Yaramil Hiraldo,Baltimore Orioles,682274
Sean Hjelle,San Francisco Giants,663546
Porter Hodge,Chicago Cubs,687863
Bryan Hoeing,San Diego Padres,663773
Jeff Hoffman,Toronto Blue Jays,656546
Nolan Hoffman,Philadelphia Phillies,676510
Andrew Hoffmann,Arizona Diamondbacks,694851
Gunnar Hoglund,Athletics,680684
Colin Holderman,Pittsburgh Pirates,670059
Gavin Hollowell,Chicago Cubs,668970
Grant Holman,Athletics,680880
Clay Holmes,New York Mets,605280
Grant Holmes,Atlanta Braves,656550
Cade Horton,Chicago Cubs,690990
Tanner Houck,Boston Red Sox,656557
Adrian Houser,Tampa Bay Rays,605288
Raisel Iglesias,Atlanta Braves,628452
Jake Irvin,Washington Nationals,663623
Luke Jackson,Seattle Mariners,592426
