Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
Total,Kevin Herget,NYM,7,25,0.00,7,1,0,0,0,0,2,0,0,3,.304,.360,.348,,643361
Total,Yaramil Hiraldo,BAL,15,40,0.00,9,0,0,0,0,4,6,0,0,12,.273,.385,.636,,682274
Total,Shaun Anderson,LAA,7,26,0.00,8,1,0,0,0,3,2,0,0,6,.333,.385,.750,,641312
Total,Connelly Early,BOS,4,22,0.00,3,0,0,0,0,0,1,0,1,13,.150,.227,.150,,813349
Total,Yariel Rodríguez,TOR,59,122,0.00,22,2,1,0,0,3,23,2,3,16,.229,.393,.365,,684320
Total,Jonathan Pintaro,NYM,1,4,0.00,1,0,0,0,0,0,2,0,0,0,.500,.750,.500,,702752
Total,Jake Bauers,MIL,4,10,0.00,0,0,0,0,0,0,1,0,2,1,.000,.300,.000,,641343
Total,Griffin Jax,TBR,70,146,0.00,39,9,1,0,0,4,11,3,1,46,.293,.352,.466,,643377
Total,Bryan Baker,TBR,66,143,0.00,27,5,1,0,0,6,10,0,0,43,.206,.261,.397,,641329
Total,Germán Márquez,COL,26,304,0.00,83,16,4,0,0,12,31,1,3,44,.311,.386,.536,,608566
Total,Ryan Loutos,WSN,11,29,0.00,8,0,1,0,0,1,4,0,1,5,.333,.448,.542,,702795
Total,David Robertson,PHI,19,36,0.00,10,1,0,0,0,2,4,1,0,10,.313,.389,.531,,502085
Total,Nate Pearson,CHC,11,33,0.00,10,2,0,0,0,2,5,0,0,1,.400,.455,.720,,663878
Total,Isiah Kiner-Falefa,TOR,1,1,0.00,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,,643396
Total,Luarbert Arias,MIA,7,27,0.00,7,0,1,0,0,2,4,0,2,4,.350,.481,.750,,678215
Total,Jose Herrera,ARI,2,3,0.00,1,1,0,0,0,0,0,0,0,0,.333,.333,.667,,645444
Total,Austin Gomber,COL,11,57,0.00,18,3,0,0,0,6,5,0,0,7,.353,.404,.765,,596295
Total,Luke Williams,ATL,6,12,0.00,2,0,0,0,0,0,1,0,0,2,.182,.250,.182,,663897
Total,Brady Singer,CIN,32,404,0.00,88,21,4,0,0,15,37,0,8,100,.250,.330,.460,,663903
Total,Connor Seabold,ATL,7,29,0.00,4,0,0,0,0,1,4,0,0,6,.167,.276,.292,,657756
Total,Danny Coulombe,TEX,44,78,0.00,16,2,0,0,0,0,5,0,0,17,.225,.273,.254,,543056
Total,Joe Ryan,MIN,31,356,0.00,79,20,0,0,0,16,21,0,5,84,.241,.296,.448,,657746
Total,Daysbel Hernández,ATL,36,73,0.00,7,2,0,0,0,1,17,1,1,18,.127,.342,.218,,678226
Total,Mark Leiter Jr.,NYY,54,121,0.00,29,4,1,0,0,1,10,0,2,42,.269,.339,.352,,643410
Total,Ryan Brasier,CHC,25,39,0.00,11,3,0,0,0,1,2,0,0,10,.297,.333,.459,,518489
Total,Matt Festa,CLE,53,105,0.00,23,3,1,0,0,3,9,2,1,23,.250,.320,.402,,670036
Total,Brendon Little,TOR,72,139,0.00,23,5,2,0,0,1,18,0,1,45,.195,.304,.297,,663893
Total,Colin Holderman,PIT,22,45,0.00,10,3,0,0,0,1,8,1,0,8,.286,.409,.457,,670059
Total,Ben Bowden,OAK,9,18,0.00,1,1,0,0,0,0,4,0,0,5,.077,.278,.154,,641386
Total,Michael Lorenzen,KCR,27,310,0.00,76,15,3,0,0,11,21,0,2,64,.268,.319,.458,,547179
Total,Freddy Tarnok,MIA,5,19,0.00,1,0,0,0,0,1,2,0,1,8,.063,.211,.250,,676206
Total,Connor Brogdon,LAA,39,101,0.00,24,6,1,0,0,6,9,3,0,19,.264,.327,.549,,641401
Total,Enrique Hernández,LAD,5,17,0.00,4,2,0,0,0,0,4,0,0,0,.333,.471,.500,,571771
Total,Anthony DeSclafani,ARI,13,72,0.00,16,2,0,0,0,4,7,0,2,13,.258,.347,.484,,543101
Total,Jesse Hahn,SEA,3,7,0.00,3,0,0,0,0,0,2,1,0,1,.600,.714,.600,,534910
Total,José De León,BOS,1,16,0.00,4,0,0,0,0,0,2,0,0,4,.286,.375,.286,,592254
Total,Michael Kelly,OAK,35,66,0.00,12,2,0,0,0,2,9,2,1,11,.214,.333,.357,,547184
Total,Andrew Heaney,LAD,27,149,0.00,42,11,1,0,0,10,9,0,3,22,.311,.365,.630,,571760
Total,Bailey Horn,DET,10,26,0.00,8,1,0,0,0,1,4,0,0,4,.364,.462,.545,,690544
Total,Taylor Rashi,ARI,10,31,0.00,4,1,0,0,0,0,2,0,0,10,.138,.194,.172,,688497
Total,Chayce McDermott,BAL,4,24,0.00,5,0,0,0,0,3,6,0,0,5,.278,.458,.778,,694646
Total,Payton Tolle,BOS,6,15,0.00,4,0,0,0,0,1,2,0,0,3,.308,.400,.538,,801139
Total,Tyler Holton,DET,64,139,0.00,24,2,0,0,0,4,6,0,0,34,.186,.219,.295,,663947
Total,Dietrich Enns,BAL,24,73,0.00,24,4,1,0,0,4,4,0,0,22,.353,.389,.618,,608650
Total,Tristan Beck,SFG,29,113,0.00,20,3,1,0,0,4,10,0,2,18,.202,.283,.374,,663941
Total,Kendall Graveman,ARI,17,32,0.00,7,3,0,0,0,1,8,0,1,2,.304,.500,.565,,608665
Total,Ryan Walker,SFG,57,121,0.00,29,8,1,0,0,2,7,1,4,34,.266,.333,.413,,676254
Total,César Salazar,HOU,1,2,0.00,0,0,0,0,0,0,0,0,1,0,.000,.500,.000,,663967
Total,Travis Jankowski,NYM,1,2,0.00,0,0,0,0,0,0,0,0,1,0,.000,.500,.000,,608671
Total,Nathan Eovaldi,TEX,22,260,0.00,49,11,1,0,0,6,11,1,4,66,.202,.248,.329,,543135
Total,Bowden Francis,TOR,14,161,0.00,41,4,0,0,0,14,19,0,0,30,.297,.373,.630,,670102
Total,Chris Paddack,DET,32,345,0.00,81,15,3,0,0,18,21,0,3,54,.256,.306,.492,,663978
Total,Omar Cruz,SDP,2,8,0.00,2,1,0,0,0,0,0,0,0,3,.250,.250,.375,,678316
Total,Tyler Phillips,MIA,52,151,0.00,26,7,0,0,0,3,18,0,0,24,.195,.291,.316,,663969
Total,Jack Dreyer,LAD,55,107,0.00,17,1,1,0,0,1,11,1,0,23,.181,.264,.245,,676263
Total,Joey Cantillo,CLE,30,113,0.00,25,3,0,0,0,3,16,0,0,27,.258,.363,.381,,676282
Total,Richard Lovelady,NYM,10,29,0.00,5,2,0,0,0,0,3,0,3,5,.227,.379,.318,,663992
Total,Bobby Miller,LAD,2,15,0.00,5,1,0,0,0,2,1,1,0,4,.357,.400,.857,,676272
Total,Tyler Rogers,NYM,73,144,0.00,31,3,0,0,0,3,6,0,1,17,.230,.266,.319,,643511
