Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
Total,J.C. Escarra,NYY,11,15,14,4,3,1,0,0,0,2,1,0,4,0,0,0,0,0,0,.286,641555
Total,Travis Jankowski,TBR,7,7,7,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.286,608671
Total,Daniel Johnson,BAL,5,7,7,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.286,669288
Total,Ha-Seong Kim,ATL,24,60,56,16,13,2,0,1,0,6,4,0,9,0,0,0,1,0,0,.286,673490
Total,Manuel Margot,DET,6,15,14,4,4,0,0,0,0,2,0,0,4,0,1,0,0,0,0,.286,622534
Total,Dane Myers,MIA,64,117,105,30,20,8,0,2,0,17,11,0,21,1,0,0,3,0,0,.286,667472
Total,Brian Navarreto,MIA,5,7,7,2,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,.286,640459
Total,Wenceel Pérez,DET,55,108,98,28,15,6,2,5,0,16,7,0,23,0,3,0,0,0,0,.286,672761
Total,Sal Stewart,CIN,4,7,7,2,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,.286,701398
Total,Chadwick Tromp,BAL,4,7,7,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.286,644433
Total,Yandy Díaz,TBR,82,181,158,45,24,10,0,11,0,21,19,2,16,2,2,0,2,0,0,.285,650490
Total,Freddie Freeman,LAD,97,175,158,45,27,9,1,8,0,19,14,1,42,2,1,0,4,0,0,.285,518692
Total,Jake Meyers,HOU,40,71,67,19,14,5,0,0,0,5,3,0,11,1,0,0,1,0,0,.284,676694
Total,Eric Wagaman,MIA,90,184,173,49,29,14,1,5,0,26,10,0,36,0,1,0,3,0,0,.283,676572
Total,Martín Maldonado,SDP,31,52,46,13,9,3,0,1,0,3,5,0,15,0,0,1,1,0,0,.283,455117
Total,Braxton Fulford,COL,25,43,39,11,6,3,2,0,0,7,3,0,10,0,1,0,1,0,0,.282,690924
Total,Ramón Laureano,SDP,77,159,142,40,24,7,0,9,0,24,13,1,31,2,2,0,3,0,0,.282,657656
Total,Hunter Goodman,COL,68,140,128,36,18,9,1,8,0,26,11,0,34,1,0,0,5,0,0,.281,696100
Total,Cal Raleigh,SEA,88,205,185,52,22,8,0,22,0,39,18,1,61,2,0,0,2,0,0,.281,663728
Total,Matt Olson,ATL,98,216,196,55,33,15,1,6,0,30,16,1,60,1,3,0,4,0,0,.281,621566
Total,Andrew Knizner,SFG,13,25,25,7,6,0,0,1,0,1,0,0,3,0,0,0,0,0,0,.280,668800
Total,Gleyber Torres,DET,88,173,143,40,22,11,0,7,0,28,28,0,22,0,2,0,3,0,0,.280,650402
Total,Gabriel Moreno,ARI,38,77,68,19,13,5,0,1,0,5,8,1,11,0,1,0,3,0,0,.279,672515
Total,Shohei Ohtani,LAD,113,244,222,62,35,8,4,15,0,33,22,1,67,0,0,0,5,0,0,.279,660271
Total,Nate Eaton,BOS,21,49,43,12,10,2,0,0,0,1,4,0,10,1,1,0,1,0,0,.279,681987
Total,Christian Koss,SFG,26,47,43,12,11,1,0,0,0,2,2,0,17,2,0,0,0,0,0,.279,683766
Total,Jake Mangum,TBR,78,137,129,36,30,5,0,1,0,11,5,0,17,1,1,1,2,0,0,.279,663968
Total,James McCann,ARI,25,50,43,12,8,3,0,1,0,3,4,0,10,2,0,1,0,0,0,.279,543510
Total,Angel Martínez,CLE,77,169,147,41,27,9,0,5,0,19,13,0,34,4,2,3,4,0,0,.279,682657
Total,Chase Meidroth,CWS,74,156,140,39,34,3,0,2,0,5,15,0,27,0,0,1,3,0,0,.279,805367
Total,Ryan O'Hearn,SDP,70,109,97,27,15,8,1,3,0,15,9,0,27,3,0,0,2,0,0,.278,656811
Total,Jeremy Peña,HOU,49,107,97,27,21,2,0,4,0,14,10,1,14,0,0,0,2,0,0,.278,665161
Total,Roman Anthony,BOS,47,98,90,25,19,2,0,4,0,11,8,0,38,0,0,0,0,0,0,.278,701350
Total,John Rave,KCR,16,23,18,5,5,0,0,0,0,1,3,0,5,1,0,1,0,0,0,.278,670231
Total,James Wood,WSN,114,227,209,58,37,9,0,12,0,34,17,1,71,0,1,0,7,0,0,.278,695578
Total,Giancarlo Stanton,NYY,46,78,65,18,10,3,0,5,0,24,13,3,24,0,0,0,2,0,0,.277,519317
Total,Ozzie Albies,ATL,93,186,177,49,34,10,1,4,0,19,6,1,18,0,3,0,4,0,0,.277,645277
Total,Ketel Marte,ARI,74,184,159,44,24,11,0,9,0,23,21,4,25,4,0,0,3,0,0,.277,606466
Total,Jo Adell,LAA,51,104,94,26,12,6,1,7,0,18,10,0,24,0,0,0,1,0,0,.277,666176
Total,Willson Contreras,STL,67,145,123,34,18,11,0,5,0,24,16,1,36,4,1,1,4,0,0,.276,575929
Total,Lenyn Sosa,CWS,73,140,134,37,25,7,0,5,0,22,4,0,29,1,1,0,2,0,0,.276,672820
Total,Andrew Benintendi,CWS,56,92,87,24,12,5,1,6,0,16,1,0,21,1,2,0,2,0,0,.276,643217
Total,Warming Bernabel,COL,15,29,29,8,7,0,0,1,0,5,0,0,2,0,0,0,0,0,0,.276,682653
Total,Dominic Canzone,SEA,43,68,58,16,14,1,0,1,0,4,8,0,15,1,1,0,1,0,0,.276,686527
Total,Leody Taveras,SEA,20,31,29,8,7,1,0,0,0,3,2,0,9,0,0,0,0,0,0,.276,665750
Total,Alejandro Kirk,TOR,69,144,127,35,25,6,0,4,0,20,15,1,19,0,2,0,2,0,0,.276,672386
Total,Justin Turner,CHC,59,109,98,27,18,6,0,3,0,11,9,0,20,0,2,0,2,0,0,.276,457759
Total,Jared Triolo,PIT,58,122,109,30,18,7,2,3,0,8,10,1,21,1,1,1,0,0,0,.275,669707
Total,Yohel Pozo,STL,25,42,40,11,7,3,0,1,0,6,1,0,6,0,1,0,3,0,0,.275,650968
Total,Ezequiel Tovar,COL,40,90,80,22,16,4,0,2,0,7,9,0,25,0,0,1,0,0,0,.275,678662
Total,Jonathan Aranda,TBR,65,98,84,23,19,3,0,1,0,8,12,0,27,2,0,0,2,0,0,.274,666018
Total,Nolan Schanuel,LAA,70,125,106,29,23,4,0,2,0,12,13,0,14,3,2,1,2,0,0,.274,694384
Total,Bryce Harper,PHI,111,229,209,57,34,13,0,10,0,32,19,0,50,1,0,0,2,0,0,.273,547180
Total,Andruw Monasterio,MIL,27,50,44,12,7,3,0,2,0,10,5,0,10,1,0,0,0,0,0,.273,655316
Total,Endy Rodríguez,PIT,6,12,11,3,2,1,0,0,0,0,1,0,4,0,0,0,0,0,0,.273,682848
