Name,playerId,Season,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
Collin Snider,676092,Total,SEA,40,73,0.00,19,4,0,0,0,1,5,1,0,17,.279,.329,.382,
Gordon Graceffo,700669,Total,STL,2,13,0.00,3,1,0,0,0,1,1,0,0,3,.250,.308,.583,
Janson Junk,676083,Total,OAK,6,20,0.00,11,1,0,0,0,2,3,0,0,1,.647,.700,1.059,
Brandon Williamson,682227,Total,CIN,4,12,0.00,4,0,0,0,0,2,1,0,2,2,.444,.583,1.111,
Scott Alexander,518397,Total,OAK,38,67,0.00,10,3,0,0,0,0,2,0,2,14,.161,.209,.210,
Jared Koenig,657649,Total,MIL,49,96,0.00,18,1,0,0,0,2,4,0,0,21,.198,.232,.275,
Emerson Hancock,676106,Total,SEA,12,127,0.00,28,3,1,0,0,2,13,0,2,16,.252,.339,.351,
Buck Farmer,571656,Total,CIN,57,121,0.00,24,5,1,0,0,2,17,4,1,26,.233,.347,.359,
Kyle Farmer,571657,Total,MIN,2,10,0.00,5,1,1,0,0,0,0,0,0,0,.500,.500,.800,
Chad Green,643338,Total,TOR,51,99,0.00,20,6,0,0,0,5,7,1,2,26,.227,.293,.466,
Jeff Criswell,676105,Total,COL,13,36,0.00,9,2,0,0,0,1,3,0,0,9,.281,.333,.438,
Mason Montgomery,682254,Total,TBR,8,14,0.00,2,1,0,0,0,0,2,0,0,7,.167,.286,.250,
Javier Assad,665871,Total,CHC,29,346,0.00,73,13,1,0,0,8,35,0,3,75,.242,.325,.371,
Nick Ramirez,598286,Total,LAD,7,21,0.00,3,1,0,0,0,0,3,0,0,3,.176,.286,.235,
Bryce Miller,682243,Total,SEA,31,380,0.00,72,16,1,0,0,15,32,0,0,85,.207,.274,.389,
Mitch White,669952,Total,MIL,12,45,0.00,12,2,0,0,0,4,6,1,1,2,.343,.432,.743,
Tommy Henry,674072,Total,ARI,8,55,0.00,16,4,1,0,0,2,3,0,4,9,.333,.418,.583,
Cam Booser,592155,Total,BOS,38,77,0.00,19,3,0,0,0,1,6,0,0,17,.275,.325,.362,
Kyle Gibson,502043,Total,STL,30,388,0.00,90,21,3,0,0,13,44,0,3,79,.267,.354,.463,
Dylan Floro,571670,Total,ARI,56,100,0.00,23,3,0,0,0,2,6,0,0,15,.247,.290,.344,
Tyler Alexander,641302,Total,TBR,23,125,0.00,31,5,0,0,0,6,4,0,2,23,.267,.298,.466,
José Marte,665896,Total,LAA,13,38,0.00,7,3,0,0,0,1,5,0,0,4,.219,.316,.406,
Jordan Hicks,663855,Total,SFG,28,223,0.00,53,10,0,0,0,5,32,0,7,37,.290,.413,.426,
Kevin Herget,643361,Total,MIL,7,19,0.00,5,2,0,0,0,1,1,0,0,2,.278,.316,.556,
José Buttó,676130,Total,NYM,29,152,0.00,14,2,0,0,0,3,29,0,1,36,.118,.289,.210,
Shaun Anderson,641312,Total,MIA,6,41,0.00,17,4,1,0,0,1,1,0,0,5,.436,.439,.667,
Yariel Rodríguez,684320,Total,TOR,21,167,0.00,31,8,0,0,0,5,25,0,0,34,.220,.337,.383,
Vinny Nittoli,657697,Total,BAL,7,16,0.00,3,1,0,0,0,0,0,0,0,4,.188,.188,.250,
Gerrit Cole,543037,Total,NYY,17,228,0.00,43,10,0,0,0,5,19,1,3,64,.209,.285,.330,
Jake Bauers,641343,Total,MIL,4,8,0.00,1,1,0,0,0,0,2,0,0,0,.167,.375,.333,
Griffin Jax,643377,Total,MIN,68,131,0.00,24,5,1,0,0,2,8,1,1,40,.200,.256,.308,
Bryan Baker,641329,Total,BAL,19,39,0.00,8,2,0,0,0,1,4,0,0,8,.235,.308,.382,
Germán Márquez,608566,Total,COL,1,8,0.00,1,0,0,0,0,0,2,0,0,1,.167,.375,.167,
Ryan Loutos,702795,Total,STL,2,4,0.00,0,0,0,0,0,0,1,0,0,0,.000,.250,.000,
David Robertson,502085,Total,TEX,63,131,0.00,17,1,0,0,0,3,13,3,1,49,.145,.237,.231,
Nate Pearson,663878,Total,CHC,56,133,0.00,32,5,0,0,0,4,12,0,1,35,.271,.338,.415,
Isiah Kiner-Falefa,643396,Total,TOR,1,1,0.00,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,
Austin Gomber,596295,Total,COL,27,164,0.00,36,7,1,0,0,9,6,0,0,31,.231,.256,.462,
Luke Williams,663897,Total,ATL,3,8,0.00,1,0,0,0,0,0,1,0,0,0,.143,.250,.143,
Kenny Rosenberg,670046,Total,LAA,7,31,0.00,9,2,0,0,0,2,4,0,0,8,.333,.419,.630,
Brady Singer,663903,Total,KCR,32,419,0.00,108,26,1,0,0,15,39,0,6,91,.291,.367,.488,
Joe Ryan,657746,Total,MIN,23,255,0.00,49,8,3,0,0,9,11,0,2,61,.203,.243,.373,
Daysbel Hernández,678226,Total,ATL,14,30,0.00,6,0,0,0,0,0,4,1,1,12,.240,.367,.240,
Danny Coulombe,543056,Total,BAL,28,40,0.00,7,2,0,0,0,0,0,0,0,10,.175,.175,.225,
Phil Bickford,641360,Total,NYY,7,12,0.00,2,0,0,0,0,0,0,0,0,2,.167,.167,.167,
Mark Leiter Jr.,643410,Total,NYY,59,142,0.00,31,5,1,0,0,3,11,0,2,43,.240,.310,.364,
Matt Festa,670036,Total,TEX,17,38,0.00,10,4,1,0,0,0,3,1,0,7,.286,.342,.457,
Ryan Brasier,518489,Total,LAD,28,57,0.00,16,5,0,0,0,1,2,0,0,9,.296,.316,.444,
Brandon Crawford,543063,Total,STL,1,4,0.00,2,0,0,0,0,0,1,0,0,0,.667,.750,.667,
Brendon Little,663893,Total,TOR,45,93,0.00,17,0,0,0,0,1,8,0,1,20,.202,.280,.238,
Colin Holderman,670059,Total,PIT,53,98,0.00,19,5,1,0,0,2,16,0,3,25,.247,.392,.416,
Michael Lorenzen,547179,Total,KCR,26,251,0.00,32,6,0,0,0,6,33,0,3,51,.150,.271,.262,
Humberto Castellanos,528748,Total,ARI,5,22,0.00,6,1,0,0,0,0,1,0,0,4,.286,.318,.333,
Ildemaro Vargas,545121,Total,WSN,2,5,0.00,1,0,0,0,0,1,0,0,0,0,.200,.200,.800,
Connor Brogdon,641401,Total,LAD,4,8,0.00,3,1,0,0,0,2,2,0,0,1,.500,.625,1.667,
Enrique Hernández,571771,Total,LAD,4,9,0.00,4,2,0,0,0,0,0,0,0,0,.444,.444,.667,
JT Chargois,608638,Total,SEA,30,58,0.00,7,1,0,0,0,4,4,1,0,21,.130,.190,.370,
Michael Kelly,547184,Total,OAK,23,53,0.00,11,0,1,0,0,2,6,1,3,10,.256,.377,.442,
Andrew Heaney,571760,Total,TEX,29,140,0.00,34,6,0,0,0,3,11,0,3,29,.272,.345,.392,
Bailey Horn,690544,Total,BOS,17,48,0.00,14,1,0,0,0,5,4,0,0,5,.333,.383,.714,
Chayce McDermott,694646,Total,BAL,1,10,0.00,4,0,0,0,0,1,2,0,0,1,.571,.600,1.000,
Tyler Holton,663947,Total,DET,60,147,0.00,21,4,1,0,0,3,5,0,4,31,.153,.205,.263,
Tyler Duffey,608648,Total,KCR,9,19,0.00,4,3,0,0,0,0,3,0,1,5,.286,.421,.500,
Tristan Beck,663941,Total,SFG,7,37,0.00,7,1,0,0,0,1,2,0,0,10,.200,.243,.314,
Ryan Walker,676254,Total,SFG,69,147,0.00,25,5,1,0,0,3,9,1,5,42,.189,.267,.311,
Nathan Eovaldi,543135,Total,TEX,29,339,0.00,78,20,0,0,0,12,21,0,1,78,.247,.295,.424,
Alan Busenitz,641427,Total,CIN,3,9,0.00,3,0,0,0,0,0,0,0,0,1,.333,.333,.333,
Bowden Francis,670102,Total,TOR,27,187,0.00,34,4,0,0,0,8,13,0,2,31,.199,.263,.363,
Alex Cobb,502171,Total,CLE,3,30,0.00,8,0,0,0,0,1,1,0,0,3,.286,.300,.393,
Raymond Burgos,670103,Total,SFG,1,3,0.00,2,0,0,0,0,0,0,0,0,0,.667,.667,.667,
Chris Paddack,663978,Total,MIN,17,193,0.00,54,6,0,0,0,7,12,0,1,32,.303,.347,.455,
Paolo Espino,502179,Total,TOR,3,24,0.00,7,1,1,0,0,2,3,0,0,1,.350,.417,.800,
Adam Oller,670124,Total,MIA,8,92,0.00,21,4,0,0,0,4,15,0,1,20,.276,.402,.487,
Kent Emanuel,592288,Total,MIA,11,40,0.00,7,0,1,0,0,0,3,0,3,7,.212,.325,.273,
Tyler Phillips,663969,Total,PHI,8,73,0.00,16,2,0,0,0,3,3,0,1,13,.232,.274,.391,
Austin Pruitt,643493,Total,TEX,4,9,0.00,5,1,0,0,0,2,1,1,0,0,.625,.667,1.500,
Dominic Leone,608678,Total,CWS,20,40,0.00,8,1,0,0,0,2,7,1,0,6,.258,.375,.484,
Joey Cantillo,676282,Total,CLE,9,42,0.00,12,2,0,0,0,3,5,0,0,10,.324,.405,.622,
Richard Lovelady,663992,Total,TBR,34,64,0.00,13,2,0,0,0,1,5,0,2,11,.232,.313,.321,
Bobby Miller,676272,Total,LAD,13,123,0.00,33,2,1,0,0,9,14,0,0,28,.303,.382,.587,
